П/П;№ ПМ;Nm1;Nm2;В на пов-ти, мТл, N;В на пов-ти, мТл, S;Среднее В пары;Отклон. Вср пары от Вср группы; Поток, мВб, N;Поток, мВб, S;Средн. Ф пары;Отклон. от средн. Ф группы; Ф N, мВб        измер на КГ ПМ  К=1,27;Ф S, мВб измер на КГ ПМ  К=1,27;;;;;
101;2900 - 686;2900;686;349;345;347,00;0,93;11,80;11,80;11,80;-0,23;14,99;14,99;;;;;
102;2902 - 34;2902;34;351;351;351,00;2,09;11,83;11,84;11,83;0,04;15,02;15,04;;;;;
103;2906 - 142;2906;142;347;345;346,00;0,64;11,77;11,77;11,77;-0,49;14,95;14,95;;;;;
104;2908 - 369;2908;369;349;346;347,50;1,08;11,81;11,81;11,81;-0,16;15;15;;;;;
105;3 - 179;3;179;349;345;347,00;0,93;11,82;11,84;11,83;0,00;;;;;;;
106;31 - 155;31;155;341;342;341,50;-0,67;11,75;11,75;11,75;-0,69;14,92;14,92;;;;;
107;33 - 460;33;460;346;349;347,50;1,08;11,78;11,77;11,78;-0,46;;;;;;;
108;340 - 20;340;20;343;340;341,50;-0,67;11,77;11,77;11,77;-0,49;14,95;14,95;;;;;
109;344 - 177;344;177;344;342;343,00;-0,23;11,78;11,78;11,78;-0,43;14,96;14,96;;;;;
110;345 - 616;345;616;348;350;349,00;1,51;11,77;11,77;11,77;-0,51;;;;;;;
111;346 - 393;346;393;349;349;349,00;1,51;11,87;11,87;11,87;0,31;15,07;15,07;;;;;
112;351 - 454;351;454;338;338;338,00;-1,69;11,85;11,85;11,85;0,17;15,05;15,05;;;;;
113;354 - 205;354;205;346;347;346,5;0,79;11,82;11,82;11,82;-0,09;15,01;15,01;;;;;
114;355 - 395;355;395;339;341;340;-1,11;11,83;11,83;11,83;0,01;15,02;15,03;;;;;
115;356 - 178;356;178;340;339;339,50;-1,25;11,83;11,83;11,83;0,04;15,03;15,03;;;;;
116;359 - 775;359;775;340;338;339;-1,40;11,74;11,76;11,75;-0,69;14,91;14,93;;;;;
117;360 - 210;360;210;342;346;344;0,06;11,83;11,83;11,83;0,04;15,03;15,03;;;;;
118;361 - 1859;361;1859;342;343;342,50;-0,38;11,78;11,78;11,78;-0,43;14,96;14,96;;;;;
119;364 - 339;364;339;347;345;346,00;0,64;11,76;11,78;11,77;-0,51;;;;;;;
120;366 -795;366;95;341;345;343,00;-0,23;11,89;11,91;11,90;0,57;15,1;15,12;;;;;
121;368 - 134;368;134;339;338;338,5;-1,54;11,79;11,80;11,80;-0,29;14,97;14,99;;;;;
122;370 - 168;370;168;349;352;350,50;1,95;11,75;11,76;11,76;-0,63;;;;;;;
